target_index,transform,representation,metric,bp,msp,difference_bp_minus_msp,relative_improvement_percent,msp_win
5,horizontal_flip,concat,cp_eq1_optimized,0.19594010710716248,0.15635845065116882,0.03958165645599365,20.200895590071237,1.0
6,horizontal_flip,concat,cp_eq1_optimized,0.17826208472251892,0.17668524384498596,0.001576840877532959,0.8845632429232548,1.0
7,horizontal_flip,concat,cp_eq1_optimized,0.2111964374780655,0.18157143890857697,0.029624998569488525,14.027224570217978,1.0
8,horizontal_flip,concat,cp_eq1_optimized,0.16289156675338745,0.17062833905220032,-0.007736772298812866,-4.749645701719225,0.0
9,horizontal_flip,concat,cp_eq1_optimized,0.2577395737171173,0.21440322697162628,0.04333634674549103,16.814005750194497,1.0
10,horizontal_flip,concat,cp_eq1_optimized,0.18471172451972961,0.13378378748893738,0.050927937030792236,27.57157790764752,1.0
11,horizontal_flip,concat,cp_eq1_optimized,0.18575529754161835,0.1433068811893463,0.042448416352272034,22.851793146051715,1.0
12,horizontal_flip,concat,cp_eq1_optimized,0.2585707902908325,0.22418953478336334,0.03438125550746918,13.296650974638407,1.0
13,horizontal_flip,concat,cp_eq1_optimized,0.21822012960910797,0.18387342989444733,0.034346699714660645,15.739473611360967,1.0
14,horizontal_flip,concat,cp_eq1_optimized,0.21620739996433258,0.20338478684425354,0.01282261312007904,5.930700393296003,1.0
15,horizontal_flip,concat,cp_eq1_optimized,0.2050558477640152,0.1983371078968048,0.006718739867210388,3.276541459529485,1.0
16,horizontal_flip,concat,cp_eq1_optimized,0.20743532478809357,0.15333811938762665,0.05409720540046692,26.079070888947847,1.0
17,horizontal_flip,concat,cp_eq1_optimized,0.18059752881526947,0.16975437104701996,0.010843157768249512,6.004045481309313,1.0
18,horizontal_flip,concat,cp_eq1_optimized,0.22755882143974304,0.19368679821491241,0.03387202322483063,14.884952826867666,1.0
19,horizontal_flip,concat,cp_eq1_optimized,0.2332020252943039,0.1839459091424942,0.04925611615180969,21.12165024700649,1.0
20,horizontal_flip,concat,cp_eq1_optimized,0.18963542580604553,0.1561390459537506,0.03349637985229492,17.66356666205267,1.0
21,horizontal_flip,concat,cp_eq1_optimized,0.20364819467067719,0.18785040080547333,0.015797793865203857,7.757394506085926,1.0
