method,transform,representation,metric,n,mean,std,median,min,max
BP,scale_1.10,layer2_flat,bp_eq2_uniform,32,0.3461197898723185,0.06173991851384665,0.3453810065984726,0.1989322006702423,0.43477824330329895
BP,scale_1.10,layer2_flat,full_normalized_distance,32,0.8285455422091326,0.07705457960064008,0.8311047177679574,0.6307649335057274,0.9325001268668
BP,scale_1.10,layer2_flat,bp_delta_from_original,32,0.004937284626066685,0.016730166779687052,0.004741400480270386,-0.023666083812713623,0.04032319784164429
BP,scale_1.10,layer2_flat,bp_ratio_to_original,32,1.020018260120333,0.05333153282092148,1.0141529620494554,0.9327403385523393,1.1521235903637037
BP,scale_1.10,layer2_flat,cp_eq1_optimized,32,0.19720548344776034,0.02325037621977338,0.19797352701425552,0.1486869603395462,0.23264171183109283
BP,scale_1.10,layer2_flat,cp_delta_from_original,32,0.0022125858813524246,0.00901640815960724,0.0011054202914237976,-0.01379956305027008,0.0231514573097229
BP,scale_1.10,layer2_flat,cp_ratio_to_original,32,1.0138729113082463,0.0488190169045413,1.0066822604316719,0.9256373123289864,1.1337529196639096
BP,scale_1.10,layer2_flat,cp_coefficient_entropy,32,2.07595157623291,0.24514889311127516,2.102612018585205,1.5232703685760498,2.5992531776428223
BP,scale_1.10,layer3_flat,bp_eq2_uniform,32,0.34975947346538305,0.03194841128661086,0.3545848876237869,0.2740802764892578,0.39846518635749817
BP,scale_1.10,layer3_flat,full_normalized_distance,32,0.835501286309311,0.03877541630569989,0.8421215607106867,0.7403786551343277,0.8927095679530921
BP,scale_1.10,layer3_flat,bp_delta_from_original,32,0.007568413391709328,0.01181024499122609,0.007869347929954529,-0.01381152868270874,0.03507348895072937
BP,scale_1.10,layer3_flat,bp_ratio_to_original,32,1.0234767405904246,0.03660129197711975,1.0212380590610008,0.9583102592253612,1.1134562265467112
BP,scale_1.10,layer3_flat,cp_eq1_optimized,32,0.20740579394623637,0.0306412931698951,0.20440886169672012,0.14607222378253937,0.26348641514778137
BP,scale_1.10,layer3_flat,cp_delta_from_original,32,0.004531062673777342,0.010876664711138637,0.004110522568225861,-0.01972562074661255,0.04019223153591156
BP,scale_1.10,layer3_flat,cp_ratio_to_original,32,1.025530142992318,0.06383852869793889,1.0208040657546498,0.9103915767149323,1.2693130739567353
BP,scale_1.10,layer3_flat,cp_coefficient_entropy,32,1.7491632420569658,0.37939545251676865,1.7557203769683838,0.8922612071037292,2.377060651779175
BP,scale_1.10,layer4_pooled,bp_eq2_uniform,32,0.4647700097411871,0.06151038770927808,0.45070508122444153,0.382979154586792,0.7065584659576416
BP,scale_1.10,layer4_pooled,full_normalized_distance,32,0.9622756804593646,0.06066754909869227,0.9494257439139289,0.8751904416603189,1.1887459492739747
BP,scale_1.10,layer4_pooled,bp_delta_from_original,32,0.004173843190073967,0.020101799437169148,0.00462380051612854,-0.048196643590927124,0.06572920083999634
BP,scale_1.10,layer4_pooled,bp_ratio_to_original,32,1.0094270895153858,0.0399612713101438,1.0103973168504887,0.911977547133926,1.102568974948151
BP,scale_1.10,layer4_pooled,cp_eq1_optimized,32,0.08850029279710725,0.04840126238165424,0.06926963105797768,0.01713854819536209,0.20268961787223816
BP,scale_1.10,layer4_pooled,cp_delta_from_original,32,-0.007575635798275471,0.019087644486429016,-0.005281582474708557,-0.05094526708126068,0.020287305116653442
BP,scale_1.10,layer4_pooled,cp_ratio_to_original,32,0.9569451413405898,0.2448309808214741,0.9503604774210241,0.4136918933740771,1.5424811135294916
