target_index,transform,representation,cosine_drift
23,scale_0.90,layer4_pooled,0.00784158706665039
23,scale_0.90,concat,0.1291971206665039
23,scale_1.10,layer2_flat,0.10394197702407837
23,scale_1.10,layer3_flat,0.04133117198944092
23,scale_1.10,layer4_pooled,0.0024205446243286133
23,scale_1.10,concat,0.0719536542892456
23,horizontal_flip,layer2_flat,0.24901056289672852
23,horizontal_flip,layer3_flat,0.2292119860649109
23,horizontal_flip,layer4_pooled,0.026595771312713623
23,horizontal_flip,concat,0.23898327350616455
24,original,layer2_flat,5.960464477539063e-08
24,original,layer3_flat,0.0
24,original,layer4_pooled,-1.1920928955078125e-07
24,original,concat,0.0
24,rotate_-10,layer2_flat,0.12342345714569092
24,rotate_-10,layer3_flat,0.04224061965942383
24,rotate_-10,layer4_pooled,0.006826519966125488
24,rotate_-10,concat,0.08176171779632568
24,rotate_+10,layer2_flat,0.12052631378173828
24,rotate_+10,layer3_flat,0.06090676784515381
24,rotate_+10,layer4_pooled,0.012999176979064941
24,rotate_+10,concat,0.09019994735717773
24,scale_0.90,layer2_flat,0.15887463092803955
24,scale_0.90,layer3_flat,0.07968801259994507
24,scale_0.90,layer4_pooled,0.006982922554016113
24,scale_0.90,concat,0.11961287260055542
24,scale_1.10,layer2_flat,0.04361271858215332
24,scale_1.10,layer3_flat,0.01981407403945923
24,scale_1.10,layer4_pooled,0.002371847629547119
24,scale_1.10,concat,0.03129154443740845
24,horizontal_flip,layer2_flat,0.15526700019836426
24,horizontal_flip,layer3_flat,0.1105349063873291
24,horizontal_flip,layer4_pooled,0.004838526248931885
24,horizontal_flip,concat,0.1321413516998291
25,original,layer2_flat,5.960464477539063e-08
25,original,layer3_flat,0.0
25,original,layer4_pooled,1.1920928955078125e-07
25,original,concat,0.0
25,rotate_-10,layer2_flat,0.09373271465301514
25,rotate_-10,layer3_flat,0.07560545206069946
25,rotate_-10,layer4_pooled,0.01227027177810669
25,rotate_-10,concat,0.08556079864501953
25,rotate_+10,layer2_flat,0.08588624000549316
25,rotate_+10,layer3_flat,0.0515325665473938
25,rotate_+10,layer4_pooled,0.011841535568237305
25,rotate_+10,concat,0.07037067413330078
25,scale_0.90,layer2_flat,0.17331570386886597
25,scale_0.90,layer3_flat,0.12310683727264404
25,scale_0.90,layer4_pooled,0.018728256225585938
25,scale_0.90,concat,0.150640606880188
25,scale_1.10,layer2_flat,0.02734363079071045
25,scale_1.10,layer3_flat,0.01829397678375244
25,scale_1.10,layer4_pooled,0.0024657845497131348
25,scale_1.10,concat,0.023270010948181152
25,horizontal_flip,layer2_flat,0.08816736936569214
25,horizontal_flip,layer3_flat,0.1018296480178833
25,horizontal_flip,layer4_pooled,0.010345816612243652
25,horizontal_flip,concat,0.09428107738494873
26,original,layer2_flat,0.0
26,original,layer3_flat,-1.1920928955078125e-07
26,original,layer4_pooled,-1.1920928955078125e-07
26,original,concat,0.0
26,rotate_-10,layer2_flat,0.13055956363677979
26,rotate_-10,layer3_flat,0.09989845752716064
26,rotate_-10,layer4_pooled,0.008195757865905762
26,rotate_-10,concat,0.11809229850769043
26,rotate_+10,layer2_flat,0.1437385082244873
26,rotate_+10,layer3_flat,0.09141582250595093
26,rotate_+10,layer4_pooled,0.02247530221939087
26,rotate_+10,concat,0.12064385414123535
26,scale_0.90,layer2_flat,0.20038306713104248
26,scale_0.90,layer3_flat,0.13094115257263184
26,scale_0.90,layer4_pooled,0.03656965494155884
26,scale_0.90,concat,0.1698979139328003
26,scale_1.10,layer2_flat,0.05009472370147705
26,scale_1.10,layer3_flat,0.02858954668045044
26,scale_1.10,layer4_pooled,0.0083388090133667
