target_index,bp_poison_count,msp_poison_count,method,transform,representation,bp_eq2_uniform,full_normalized_distance,bp_delta_from_original,bp_ratio_to_original,cp_eq1_optimized,cp_delta_from_original,cp_ratio_to_original,cp_coefficient_entropy,cp_coefficients
20,10,10,BP,original,layer4_pooled,0.4881580173969269,0.9880870583070369,0.0,1.0,0.09716913849115372,1.4901161193847656e-08,1.0000001533528413,0.5041395425796509,0.00000000 0.11140507 0.00000000 0.00000000 0.00000000 0.00000000 0.88859499 0.00000000 0.00000000 0.00000000
20,10,10,BP,original,concat,0.29191821813583374,0.7640919030271603,0.0,1.0,0.19965505599975586,0.0,1.0,2.178987503051758,0.23932280 0.19360575 0.03790461 0.05467763 0.05424888 0.00000000 0.41087461 0.00936574 0.00000000 0.00000000
20,10,10,BP,rotate_-10,layer2_flat,0.2803918719291687,0.7488549551537583,0.013350814580917358,1.0499953629357317,0.1756386160850525,0.006943076848983765,1.0411574418646994,2.3016116619110107,0.20416203 0.18504691 0.01518662 0.03675683 0.00514518 0.06299344 0.40764111 0.08306801 0.00000000 0.00000000
20,10,10,BP,rotate_-10,layer3_flat,0.32008910179138184,0.8001113694872506,2.9414892196655273e-05,1.0000919043959628,0.21848566830158234,-0.012625858187675476,0.945368981030863,2.0499205589294434,0.18486966 0.18060917 0.00000000 0.06308214 0.12934987 0.00000000 0.44208926 0.00000000 0.00000000 0.00000000
20,10,10,BP,rotate_-10,layer4_pooled,0.5086532831192017,1.0086161639783509,0.02049526572227478,1.041984900363867,0.0931737944483757,-0.003995329141616821,0.9588827294724392,0.8861308097839355,0.23931728 0.00794495 0.00000000 0.00000000 0.00000000 0.00000000 0.74969918 0.00000000 0.00303851 0.00000000
20,10,10,BP,rotate_-10,concat,0.29813119769096375,0.7721802868384607,0.006212979555130005,1.021283288157842,0.1975977122783661,-0.0020573437213897705,0.9896955090314268,2.2412567138671875,0.20810384 0.18569742 0.01554680 0.05311284 0.06587659 0.02219874 0.43305430 0.01640944 0.00000000 0.00000000
20,10,10,BP,rotate_+10,layer2_flat,0.27699822187423706,0.7443093736803763,0.009957164525985718,1.037287017302973,0.1720801591873169,0.003384619951248169,1.0200634822150914,2.2988710403442383,0.24913359 0.24573442 0.01008162 0.04225035 0.01495944 0.06819452 0.33783394 0.03181207 0.00000000 0.00000000
20,10,10,BP,rotate_+10,layer3_flat,0.3111658990383148,0.7888800910636734,-0.008893787860870361,0.972212095978073,0.21741220355033875,-0.013699322938919067,0.9407241899745898,2.002809524536133,0.26434597 0.25143549 0.00000000 0.07007951 0.04298115 0.00000000 0.37115788 0.00000000 0.00000000 0.00000000
20,10,10,BP,rotate_+10,layer4_pooled,0.47499707341194153,0.974676431860278,-0.013160943984985352,0.9730395824386162,0.1308675855398178,0.03369846194982529,1.3468021600325424,0.6574589610099792,0.00000000 0.16989258 0.00000000 0.00000000 0.00000000 0.00000000 0.83010745 0.00000000 0.00000000 0.00000000
20,10,10,BP,rotate_+10,concat,0.29325342178344727,0.7658373479838225,0.0013352036476135254,1.0045738962649726,0.19475089013576508,-0.004904165863990784,0.9754368060482664,2.023261070251465,0.26969862 0.26439714 0.00445268 0.06447148 0.03996934 0.00000000 0.35701075 0.00000000 0.00000000 0.00000000
20,10,10,BP,scale_0.90,layer2_flat,0.29260024428367615,0.7649839792880321,0.025559186935424805,1.0957125738983164,0.1891229748725891,0.020427435636520386,1.1210905500459831,2.328145980834961,0.22598003 0.17936979 0.00000000 0.03626598 0.02027174 0.10121968 0.37596348 0.06092933 0.00000000 0.00000000
20,10,10,BP,scale_0.90,layer3_flat,0.3110949695110321,0.7887901742682044,-0.008964717388153076,0.9719904825409992,0.21703940629959106,-0.014072120189666748,0.9391111278464948,2.1376121044158936,0.16553287 0.26817438 0.00000000 0.08763389 0.11593676 0.00000000 0.36272213 0.00000000 0.00000000 0.00000000
20,10,10,BP,scale_0.90,layer4_pooled,0.5836793184280396,1.0804437222067973,0.09552130103111267,1.1956770095476021,0.08397869765758514,-0.01319042593240738,0.8642529082805259,0.911548912525177,0.00000000 0.32672852 0.00000000 0.00000000 0.00000000 0.00000000 0.67327154 0.00000000 0.00000000 0.00000000
20,10,10,BP,scale_0.90,concat,0.3010532557964325,0.7759552252500559,0.009135037660598755,1.031293139972226,0.20464001595973969,0.004984959959983826,1.024967862371414,2.2159976959228516,0.22002855 0.22406153 0.00000000 0.06552257 0.06902492 0.04373963 0.37762278 0.00000000 0.00000000 0.00000000
20,10,10,BP,scale_1.10,layer2_flat,0.2717546224594116,0.7372307948796111,0.004713565111160278,1.0176510876565157,0.1702050417661667,0.0015095025300979614,1.008948087998798,2.2894363403320312,0.19870713 0.17584887 0.01886074 0.01473060 0.03882531 0.06125430 0.43451172 0.05726123 0.00000000 0.00000000
20,10,10,BP,scale_1.10,layer3_flat,0.33152085542678833,0.8142737321402286,0.01146116852760315,1.0358094724099929,0.24109108746051788,0.00997956097126007,1.043180715054819,2.056520938873291,0.20676024 0.17276685 0.00000000 0.07746782 0.10489084 0.00000000 0.43811417 0.00000000 0.00000000 0.00000000
